f,e_c,u_out,k,lgk
16,8.18,0.268,0.032762836,-29.69237019
32,8.22,0.53,0.064476886,-23.81191896
64,8.17,1.043,0.127662179,-17.87875496
128,8.18,2.01,0.245721271,-12.19114493
256,8.13,3.63,0.446494465,-7.003678411
512,8.06,5.59,0.693548387,-3.178464678
1024,8.03,7.04,0.876712329,-1.142857723
2048,7.96,7.61,0.956030151,-0.390568219
4096,7.96,7.8,0.979899497,-0.176369301
8192,8.03,7.92,0.98630137,-0.119807274
16384,8.13,8.04,0.988929889,-0.096689937
32768,7.98,7.91,0.99122807,-0.076528157
65536,8.04,7.54,0.937810945,-0.557694058
131072,8.02,4.3,0.536159601,-5.414118254
200000,8.04,2.82,0.350746269,-9.100138809
