e_c,u_out,k
-15.01,14.04,-0.935376416
-14.48,14.04,-0.96961326
-14,14.05,-1.003571429
-13.48,13.55,-1.005192878
-13.01,13.07,-1.004611837
-12.02,12.09,-1.005823627
-11.02,11.08,-1.005444646
-10.03,10.1,-1.006979063
-9.02,9.08,-1.006651885
-7.99,8.04,-1.006257822
-7.02,7.07,-1.007122507
-5.99,6.04,-1.008347245
-5,5.04,-1.008
-4.02,4.07,-1.012437811
-3.01,3.04,-1.009966777
-2.01,2.04,-1.014925373
-1.003,1.015,-1.011964108
-0.025,0.025,-1
0.072,-0.056,-0.777777778
0.494,-0.48,-0.971659919
0.987,-0.972,-0.984802432
1.51,-1.496,-0.990728477
2.02,-1.98,-0.98019802
2.99,-2.95,-0.986622074
4,-3.96,-0.99
5.01,-4.99,-0.996007984
6,-5.97,-0.995
6.98,-6.96,-0.99713467
8.02,-8,-0.997506234
9.03,-9.02,-0.99889258
10.02,-10.01,-0.999001996
10.99,-10.97,-0.998180164
12,-11.99,-0.999166667
13.01,-13.04,-1.002305919
14.05,-13.78,-0.980782918
13.48,-13.45,-0.997774481
14.5,-13.78,-0.950344828
15.02,-13.78,-0.917443409
15.23,-13.78,-0.904793171
